city,theatre_name,total_seats,no_screens
Mumbai,Natraj Cinema: Chembur,746,1
Mumbai,New Excelsior Mukta A2 Cinemas: Fort,596,1
Mumbai,"New Shirin Talkies, Agripada",801,1
Mumbai,"Nishat Talkies, Falkland Road",691,1
Mumbai,"Palace Talkies, V J B Udyan",724,1
Mumbai,Paradise E-Square Cinema: Mahim,502,1
Mumbai,Plaza Cinema: Dadar,691,1
Mumbai,Premier Gold: Dongri,330,1
Mumbai,Premiere Cinema: Dadar (E),465,1
Mumbai,PVR ICON: Versova,844,4
Mumbai,PVR ICON: Versova (Gold),86,2
Mumbai,"PVR: Citi Mall, Andheri (W)",864,4
Mumbai,"PVR: Dynamix, Juhu",1279,5
Mumbai,"PVR: Growel, Kandivali (E)",482,4
Mumbai,"PVR: Market City, Kurla (4DX)",288,2
Mumbai,"PVR: Market City, Kurla (Gold)",137,2
Mumbai,"PVR: Market City, Kurla (Premiere)",910,5
Mumbai,"PVR: Milap, Kandivali (W)",325,2
Mumbai,"PVR: Nirmal Lifestyle, Mulund (W)",1815,6
Mumbai,"PVR: Oberoi Mall, Goregaon (E)",1782,6
Mumbai,"PVR: Phoenix, Kotak IMAX, Lower Parel",444,1
Mumbai,"PVR: Phoenix, Lower Parel",1760,7
Mumbai,PVR: Sion,730,3
Mumbai,"PVR: Sona Shopping Centre, Kandivali (W)",287,1
Mumbai,Regal Cinema: Colaba,1178,1
Mumbai,"RNA Play Cinema: Kalanagar, Bandra (E)",195,1
Mumbai,Roxy Cinema: Charni Road,343,1
Mumbai,"Royal Talkies, Falkland Road",708,1
Mumbai,Sangeeta Cineplex: Malad,178,1
Mumbai,"Shalimar Cinema, Bharat Nagar",704,1
Mumbai,"Sharad Talkies, Chembur",400,1
Mumbai,Sharada Cinema: Dadar (E),1104,1
Mumbai,"Sheetal Cinema, Kurla North",993,1
Mumbai,"Shri Krishna Cinema, Bhandup Ind. Estate",766,1
Mumbai,"Silver Cinema, Ambewadi",636,1
Mumbai,Sterling Cineplex: Fort,900,3
Mumbai,Sun City: Vile Parle,615,2
Mumbai,"Super Cinema, Bharat Nagar",822,1
Mumbai,Super Cinema: Grant Road,822,1
